Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Orpheus before Pluto and Proserpina (Orpheus vor Pluto und Proserpina) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1909,Lithograph,"composition: 7 15/16 x 6 11/16"" (20.1 x 17 cm); sheet: 9 13/16 x 8 1/8"" (24.9 x 20.7 cm)",Gift of J. B. Neumann,7.1932,Print,Drawings & Prints,5/3/32,Y,9075,http://www.moma.org/collection/works/9075,http://www.moma.org/media/W1siZiIsIjExMjg3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82f1b44ad58f2023,,,,20.1,,,17,,
"The Departure of Orpheus from his Mother (Abschied Orpheus' von der Mutter) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1909,Lithograph,"composition (irreg.): 7 11/16 x 6 3/4"" (19.6 x 17.2 cm); sheet: 9 13/16 x 8 3/16"" (25 x 20.8 cm)",Gift of J. B. Neumann,8.1932,Print,Drawings & Prints,5/3/32,Y,9085,http://www.moma.org/collection/works/9085,http://www.moma.org/media/W1siZiIsIjExNTU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=89129b0bf1f5dc07,,,,19.6,,,17.2,,
"Orpheus at the Shore II (Orpheus am Meer II) from the illustrated book Eurydikes Wiederkehr, Drei Ges_nge (The Return of Eurydice, Three Cantos)",Max Beckmann,429,"(German, 1884ду_950)",(German),-1884,-1950,(Male),-1909,Lithograph,"composition (irreg.): 7 11/16 x 6 1/2"" (19.5 x 16.5 cm); sheet: 9 13/16 x 8 1/8"" (25 x 20.7 cm)",Gift of J. B. Neumann,9.1932,Print,Drawings & Prints,5/3/32,Y,9107,http://www.moma.org/collection/works/9107,http://www.moma.org/media/W1siZiIsIjExMjg4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=100c0d29ee5830f4,,,,19.5,,,16.5,,
Pavlova's Foot,Savely Sorine,5531,"(Russian, 1887ду_953)",(Russian),-1887,-1953,(Male),1922,Pencil and chalk on paper,"11 1/4 x 13 1/2"" (28.6 x 34.3 cm)",Gift of the artist,1.1932,Drawing,Drawings & Prints,2/24/32,Y,32958,http://www.moma.org/collection/works/32958,http://www.moma.org/media/W1siZiIsIjMzNTA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3c58d48b48b8c04,,,,28.6,,,34.3,,
Railroad Gantry,Charles Burchfield,870,"(American, 1893ду_967)",(American),-1893,-1967,(Male),-1920,Gouache on paper,"17 3/4 x 24 5/8"" (45.2 x 67.5 cm)",Given anonymously,2.193,Drawing,Drawings & Prints,01/12/30,Y,32971,http://www.moma.org/collection/works/32971,http://www.moma.org/media/W1siZiIsIjExNTg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3af3f51a67db01de,,,,45.1,,,62.5,,
Pavlova's Foot,Savely Sorine,5531,"(Russian, 1887ду_953)",(Russian),-1887,-1953,(Male),1922,Pencil and chalk on paper,"11 1/2 x 13 1/2"" (29.2 x 34.3 cm)",Gift of the artist,2.1932,Drawing,Drawings & Prints,2/24/32,Y,32972,http://www.moma.org/collection/works/32972,http://www.moma.org/media/W1siZiIsIjMzNDkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf8e62d18c7ec86a,,,,29.2,,,34.3,,
Head of a Woman,Pablo Picasso,4609,"(Spanish, 1881ду_973)",(Spanish),-1881,-1973,(Male),(Spring 1909),Gouache on paper,"24 1/2 x 18 7/8"" (62.2 x 48 cm)",Gift of Mrs. Saidie A. May,12.193,Drawing,Drawings & Prints,10/23/30,Y,33130,http://www.moma.org/collection/works/33130,http://www.moma.org/media/W1siZiIsIjIxMDAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=102ed26f753b630b,,,,62.2,,,48,,
Seated Nude,Amedeo Modigliani,4038,"(Italian, 1884ду_920)",(Italian),-1884,-1920,(Male),-1914,Pencil and watercolor on paper,"21 1/4 x 16 3/8"" (54 x 41.6 cm)",Gift of Mrs. Saidie A. May,29.1932,Drawing,Drawings & Prints,12/16/32,Y,33375,http://www.moma.org/collection/works/33375,http://www.moma.org/media/W1siZiIsIjM0NTcyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2012f39c612d1a6c,,,,54,,,41.6,,
Seated Nude,Charles Despiau,1511,"(French, 1874ду_946)",(French),-1874,-1946,(Male),n.d.,Crayon on paper,"11 3/4 x 7 3/4"" (29.8 x 19.7 cm)",Gift of Mrs. Saidie A. May,35.1932,Drawing,Drawings & Prints,12/16/32,Y,33426,http://www.moma.org/collection/works/33426,http://www.moma.org/media/W1siZiIsIjEzNTgwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b87fec7d081e6f35,,,,29.8,,,19.7,,
"New York City, Old and New",Clara E. Sipprell,5453,"(American, born Canada. 1885ду_975)",(American),-1885,-1975,(Female),c. 1920,Gelatin silver print,"10 x 7 1/4"" (25.4 x 18.4 cm)",Gift of Mrs. Saidie A. May,36.1932,Photograph,Photography,12/16/32,Y,44392,http://www.moma.org/collection/works/44392,http://www.moma.org/media/W1siZiIsIjE3MTk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=02907c7111070c86,,,,25.4,,,18.4,,
