Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
Orange Juice Extractor,"Lorraine Metal Mfg. Co., NY",(American),(),"Enameled steel, plated steel, and wood","7 7/8 x 9 3/4 x 3 7/8"" (20 x 24.7 x 9.8 cm)",Purchase,Design,12/1/1940,http://www.moma.org/collection/works/4733,20.0025,24.7
Have You Answered the Red Cross Christmas Roll Call?,Harrison Fisher,(American),(Male),Lithograph,"29 1/2 x 27 9/16"" (75 x 70 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5213,75,70
We Need You,Albert Sterner,(American),(Male),Lithograph,"39 3/4 x 28 3/4"" (101 x 73 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5220,101,73
"The Hun - His Mark, Blot It Out With Liberty Bonds",J. Allen St. John,(American),(Male),Lithograph,"42 1/2 x 27 15/16"" (108 x 71 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5229,108,71
Invest In the Victory Liberty Loan,L. A. Shafer,(American),(Male),Lithograph,"29 1/4 x 39 1/4"" (74.3 x 99.7 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5239,74.29514859,99.69519939
"Provide the Sinews of War, Buy Liberty Bonds",Joseph Pennell,(American),(Male),Lithograph,"20 15/16 x 19 7/8"" (53.3 x 50.5 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5249,53.3,50.5
They Fight For You - Protect Them,W. G. Sesser,(American),(),Lithograph,"22 1/16 x 14 3/16"" (56 x 36 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5261,56,36
See Him Through,Burton Rice,(American),(Male),Lithograph,"29 15/16 x 19 11/16"" (76 x 50 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5272,76,50
Help (Poster for the American Red Cross),John Mills,(American),(Male),Lithograph,"28 x 21 3/4"" (71.1 x 55.2 cm)",Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,http://www.moma.org/collection/works/5281,71.12014224,55.24511049
I Am The Red Cross of Peace,Chambers,(American),(),Lithograph,,Given anonymously in memory of Mrs. Alice Lillia Newhall,Design,9/30/40,,,
