Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm)
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective","Rem Koolhaas, Madelon Vriesendorp","6956, 6957","(Dutch, born 1944) (Dutch, born 1945)",(Dutch) (Dutch),(Male) (Female),Synthetic polymer paint and ink on paper,"25 x 39"" (63.5 x 99.1 cm)",Gift of Max Underwood,Architecture,Architecture & Design,1/19/00,Y,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d,63.5001,99.0602
"Parc de la Villette, Le Case Vide, Paris, France, Axonometric of folly",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(Male),"Pen, ink, gouache, and airbrush on paper","37 3/16 x 37 5/16"" (94.5 x 94.8 cm)",Gift of the Peter Norton Family Foundation,Architecture,Architecture & Design,1/19/00,Y,85,http://www.moma.org/collection/works/85,http://www.moma.org/media/W1siZiIsIjYwMTA5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a4c517edb717cdb0,94.4564,94.7739
"Parc de la Villette, Paris, France, Aerial perspective of follies",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(Male),"Pen, ink, and gouache on paper","27 1/4 x 39 1/4"" (69.2 x 99.7 cm)",Takeo Ohbayashi Purchase Fund,Architecture,Architecture & Design,1/19/00,Y,88,http://www.moma.org/collection/works/88,http://www.moma.org/media/W1siZiIsIjYxNTQ5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=58337968ff4d00be,69.2151,99.6952
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"14 x 11 1/2"" (35.6 x 29.2 cm)",Gift of Milton Sheingarten,Architecture,Architecture & Design,1/19/00,Y,165,http://www.moma.org/collection/works/165,http://www.moma.org/media/W1siZiIsIjYwMTI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1a4b5e2954ffd224,35.6,29.2
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspective and plan",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"8 1/2 x 14 1/8"" (21.6 x 35.9 cm)",Gift of Milton Sheingarten,Architecture,Architecture & Design,1/19/00,Y,167,http://www.moma.org/collection/works/167,http://www.moma.org/media/W1siZiIsIjYwMTE4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1e061f2432a27504,21.6,35.9
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Elevations",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"8 x 14 1/8"" (20.3 x 35.9 cm)",Gift of Milton Sheingarten,Architecture,Architecture & Design,1/19/00,Y,170,http://www.moma.org/collection/works/170,http://www.moma.org/media/W1siZiIsIjYwMTE5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0b7665daf6a8b55f,20.3,35.9
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on tracing paper,"13 3/4 x 7"" (34.9 x 17.8 cm)",Gift of Milton Sheingarten,Architecture,Architecture & Design,1/19/00,Y,172,http://www.moma.org/collection/works/172,http://www.moma.org/media/W1siZiIsIjYwMTIwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6aafb56661393e3a,34.9,17.8
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on copy paper,"Each: 8 1/2 x 5 3/8"" (21.6 x 13.7 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,174,http://www.moma.org/collection/works/174,http://www.moma.org/media/W1siZiIsIjIxMDIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=957f2a1ca3763a44,21.59,13.6525
,,,,,,,,,,,,,,,,,
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Colored pencil on tracing paper,"10 3/4 x 14 1/8"" (27.3 x 35.9 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,176,http://www.moma.org/collection/works/176,http://www.moma.org/media/W1siZiIsIjE2NjIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=769b57518e00daad,27.3051,35.8776
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Interior perspective and details of furniture",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"14 1/4 x 11 1/2"" (36.2 x 29.2 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,178,http://www.moma.org/collection/works/178,http://www.moma.org/media/W1siZiIsIjE2ODIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=df7eba231371e0b9,36.2,29.2
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives of the medical school and auditorium",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on tracing paper,"14 1/2 x 11 1/2"" (36.8 x 29.2 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,180,http://www.moma.org/collection/works/180,http://www.moma.org/media/W1siZiIsIjE3MDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=01117971a535bbea,36.8301,29.2101
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Colored pencil on tracing paper,"8 5/8 x 16"" (21.9 x 40.6 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,182,http://www.moma.org/collection/works/182,http://www.moma.org/media/W1siZiIsIjE3MTYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=7b1973a0864af288,21.9075,40.6401
"Residence of Salman Schocken, Jerusalem, Israel, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"13 1/2 x 11 5/16"" (34.3 x 28.7 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,184,http://www.moma.org/collection/works/184,http://www.moma.org/media/W1siZiIsIjIxMDI0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c22128ffafdd2081,34.2901,28.7338
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite and color pencil on tracing paper,"13 7/8 x 9 1/2"" (35.2 x 24.1 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,186,http://www.moma.org/collection/works/186,http://www.moma.org/media/W1siZiIsIjIyMTcxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da26b77fd3bdcc9b,35.2,24.1
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Perspectives and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on tracing paper,"11 7/8 x 14 1/2"" (30.2 x 36.8 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,188,http://www.moma.org/collection/works/188,http://www.moma.org/media/W1siZiIsIjYwMTIzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8c5990d4805b477c,30.2,36.8
"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on tracing paper,"11 3/4 x 14 3/4"" (29.8 x 37.5 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,190,http://www.moma.org/collection/works/190,http://www.moma.org/media/W1siZiIsIjYwMTI0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7e27882e1418ef6a,29.8,37.5
"Gated Wall, Perspective and elevation",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),Graphite on tracing paper,"16 1/2 x 11 1/2"" (41.9 x 29.2 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,192,http://www.moma.org/collection/works/192,http://www.moma.org/media/W1siZiIsIjYwMTI1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=db07fb07d4a77c33,41.9,29.2
