"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2007","","","","2653"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2008","","","","3208"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2009","","","","2437"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2010","","","","3109"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","4144"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","3919.007"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2013","","","","3255"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2014","","","","2779.005"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2015","","","","2701.369"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2016","","","","3172.385"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2997.839"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2007","","","","5927"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2008","","","","8114"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2009","","","","7479"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2010","","","","9690"
