"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","392","Japan","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","710","South Africa","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","484","Mexico","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","710","South Africa","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","600","Paraguay","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Coverage","Exports of electrical energy provided by the binational Itaipu and Yacyreta dams to Brazil and Argentina are included as from 2001."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","840","United States of America","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","156","China","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","356","India","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","643","Russian Federation","392","Japan","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","-","-","-","-","USM","Million US dollar","Coverage","Data for 2014 is provisional."
